timestamp,open,high,low,close,volume
2026-03-06T03:00:00Z,71201.7,71252.1,70946,71038.7,1423.898
2026-03-06T04:00:00Z,71038.7,71088.4,70222.2,70582.8,3613.683
2026-03-06T05:00:00Z,70582.8,70630.5,70100.1,70400.4,4267.684
2026-03-06T06:00:00Z,70400.4,70831.4,70230,70571.6,2170.685
2026-03-06T07:00:00Z,70571.6,71158.2,70435.1,71035.1,3460.724
2026-03-06T08:00:00Z,71035.1,71044,70703.4,70760.4,2180.557
2026-03-06T09:00:00Z,70760.4,70787.6,70267,70528.7,2651.919
2026-03-06T10:00:00Z,70528.7,70777,70431.5,70506.8,1926.465
2026-03-06T11:00:00Z,70506.8,70631.6,70150.1,70183.7,2111.248
2026-03-06T12:00:00Z,70183.7,70200,69625.2,69895.1,6963.096
2026-03-06T13:00:00Z,69895.1,70299,69165,69182.8,9947.176
2026-03-06T14:00:00Z,69182.8,69225,68130.1,68373.6,15984.126
2026-03-06T15:00:00Z,68373.6,69060,68259.9,68461,7312.708
2026-03-06T16:00:00Z,68461,68766.2,68173.2,68418.5,4734.636
2026-03-06T17:00:00Z,68418.5,68625.9,67720,67926.6,6303.215
2026-03-06T18:00:00Z,67926.6,68449.3,67917.1,68141.3,3931.237
2026-03-06T19:00:00Z,68141.3,68444,67958.7,68091.2,2647.057
2026-03-06T20:00:00Z,68091.2,68252.3,67729.1,68072.3,4406.416
2026-03-06T21:00:00Z,68072.3,68292.8,67888,68252.8,1713.315
2026-03-06T22:00:00Z,68252.8,68405.3,68178.3,68289.5,1219.486
2026-03-06T23:00:00Z,68289.5,68333,68054.4,68075.5,791.609
2026-03-07T00:00:00Z,68075.5,68342.4,68068,68239.6,1014.321
2026-03-07T01:00:00Z,68239.6,68324.6,68135.5,68219,618.643
2026-03-07T02:00:00Z,68219,68332.8,68012,68312.4,1021.862
2026-03-07T03:00:00Z,68312.4,68536.8,68055,68058.2,2312.302
2026-03-07T04:00:00Z,68058.2,68119.3,67760.5,68025.5,1862.143
2026-03-07T05:00:00Z,68025.5,68108,67858.6,67983.3,1053.317
2026-03-07T06:00:00Z,67983.3,67991.5,67553.7,67662.1,2319.957
2026-03-07T07:00:00Z,67662.1,67831.5,67400.7,67804.8,3301.982
2026-03-07T08:00:00Z,67804.8,68017.6,67676.7,67763.1,1746.287
2026-03-07T09:00:00Z,67763.1,68049,67694,67967.3,1128.246
2026-03-07T10:00:00Z,67967.3,68074.2,67833.9,67852,914.367
2026-03-07T11:00:00Z,67852,68212.7,67802.2,67972.3,2001.247
2026-03-07T12:00:00Z,67972.3,68059.2,67856.3,67952.9,1271.586
2026-03-07T13:00:00Z,67952.9,68048.4,67799.4,67889.4,1304.661
2026-03-07T14:00:00Z,67889.4,68071.4,67565.2,67981.2,2459.989
2026-03-07T15:00:00Z,67981.2,68008.4,67728,67841.4,1236.436
2026-03-07T16:00:00Z,67841.4,67862.5,67670.1,67754,842.513
2026-03-07T17:00:00Z,67754,67917.9,67730.1,67751.7,636.476
2026-03-07T18:00:00Z,67751.7,67751.9,67428.1,67535.5,1990.196
2026-03-07T19:00:00Z,67535.5,67540,66885.4,67044.1,5272.373
2026-03-07T20:00:00Z,67044.1,67400,67031.1,67356.4,1588.149
2026-03-07T21:00:00Z,67356.4,67449.3,67234.6,67413.5,1250.238
2026-03-07T22:00:00Z,67413.5,67447.7,67048.6,67218.7,1416.523
2026-03-07T23:00:00Z,67218.7,67374.5,67150,67227.1,799.39
2026-03-08T00:00:00Z,67227.1,67449.4,67134.8,67155,1117.177
2026-03-08T01:00:00Z,67155,67326.1,67050.1,67257.9,1036.483
2026-03-08T02:00:00Z,67257.9,67390,66772.4,66890.1,2962.559
2026-03-08T03:00:00Z,66890.1,67050,66809.5,66972.2,1303.8
2026-03-08T04:00:00Z,66972.2,67061.1,66480,66599.5,2984.45
2026-03-08T05:00:00Z,66599.5,67214.6,66580,67111.7,2044.967
2026-03-08T06:00:00Z,67111.7,67198.2,67002.9,67135.3,1087.825
2026-03-08T07:00:00Z,67135.3,67432.9,67120.7,67274.9,2105.583
2026-03-08T08:00:00Z,67274.9,67540,67118.4,67492.7,2232.573
2026-03-08T09:00:00Z,67492.7,67874.6,67432.5,67659.1,2655.535
2026-03-08T10:00:00Z,67659.1,68167.7,67650.9,67862.6,3587.702
2026-03-08T11:00:00Z,67862.6,67862.7,67368.7,67479.2,3265.725
2026-03-08T12:00:00Z,67479.2,67629.4,66840.7,67281.5,4193.474
2026-03-08T13:00:00Z,67281.5,67399.6,66777.7,67201.2,3954.794
2026-03-08T14:00:00Z,67201.2,67389,67006,67300.6,1904.23
2026-03-08T15:00:00Z,67300.6,67341.3,67033.6,67176.7,1331.894
2026-03-08T16:00:00Z,67176.7,67232,66736.8,66837.9,2109.168
2026-03-08T17:00:00Z,66837.9,67170,66758.6,67015.5,2142.07
2026-03-08T18:00:00Z,67015.5,67034.3,66710.5,66775.8,1199.195
2026-03-08T19:00:00Z,66775.8,67435,66742.6,67297.6,2822.365
2026-03-08T20:00:00Z,67297.6,67487.7,66990,67193.6,2266.463
2026-03-08T21:00:00Z,67193.6,67228.4,66618,66976.5,2348.819
2026-03-08T22:00:00Z,66976.5,66976.5,65580,66204.1,14220.733
2026-03-08T23:00:00Z,66204.1,66545.3,65879.1,65943.8,2833.148
2026-03-09T00:00:00Z,65943.8,66730,65782.7,66331.3,3934.042
2026-03-09T01:00:00Z,66331.3,66664.2,66085.5,66159.1,2959.245
2026-03-09T02:00:00Z,66159.1,66690.5,65917.1,66504.1,3268.087
2026-03-09T03:00:00Z,66504.1,67672.3,66474.1,67171.4,7051.147
2026-03-09T04:00:00Z,67171.4,67583.4,67064.8,67103.2,2706.33
2026-03-09T05:00:00Z,67103.2,68038.7,67076,67877.8,5749.321
2026-03-09T06:00:00Z,67877.8,67916.3,67182.5,67226.3,3410.581
2026-03-09T07:00:00Z,67226.3,67541.5,66830.7,67506.5,4160.341
2026-03-09T08:00:00Z,67506.5,67891.9,67330.1,67773.5,3247.73
2026-03-09T09:00:00Z,67773.5,68431.5,67527.3,67946,4902.452
2026-03-09T10:00:00Z,67946,68061.2,67516.1,67569.9,2642.073
2026-03-09T11:00:00Z,67569.9,67824.3,67280.5,67724,3728.334
2026-03-09T12:00:00Z,67724,68315.3,67713.9,68120.8,4971.96
2026-03-09T13:00:00Z,68120.8,69277.7,68097.5,68937.8,9949.918
2026-03-09T14:00:00Z,68937.8,69444.4,68649.8,69107.5,8130.794
2026-03-09T15:00:00Z,69107.5,69215.5,68680.2,68820,4060.388
2026-03-09T16:00:00Z,68820,69221.4,68577,68914.9,3564.272
2026-03-09T17:00:00Z,68914.9,69051.7,68222.9,68559.2,3480.093
2026-03-09T18:00:00Z,68559.2,68667.9,68200,68313.6,2259.223
2026-03-09T19:00:00Z,68313.6,69500,68313.6,68944.8,8431.441
2026-03-09T20:00:00Z,68944.8,69118.8,68703.3,68914.1,2371.979
2026-03-09T21:00:00Z,68914.1,69060,68622,68870.8,1913.97
2026-03-09T22:00:00Z,68870.8,69000.9,68553,68597,1897.216
2026-03-09T23:00:00Z,68597,68671.9,68331.6,68390.7,1307.33
2026-03-10T00:00:00Z,68390.7,69269,68355,69116.7,3565.451
2026-03-10T01:00:00Z,69116.7,69363.7,68752.8,69225.3,2336.346
2026-03-10T02:00:00Z,69225.3,70600,69066.4,70240.2,10125.08
2026-03-10T03:00:00Z,70240.2,70341.9,69342.8,69392.6,4097.134
2026-03-10T04:00:00Z,69392.6,70100,69392.6,70046.8,2746.355
2026-03-10T05:00:00Z,70046.8,70334.6,69840.3,69942.1,2360.278
2026-03-10T06:00:00Z,69942.1,70165.3,69718.2,69885.3,2480.895
2026-03-10T07:00:00Z,69885.3,70539.9,69792.9,70385.8,4771.204
2026-03-10T08:00:00Z,70385.8,71077.8,70330.2,70650,7684.53
2026-03-10T09:00:00Z,70650,71300,70610.4,71035.2,5836.981
2026-03-10T10:00:00Z,71035.2,71055.9,70635.9,70743,2705.96
2026-03-10T11:00:00Z,70743,70842.1,70506,70560.3,2664.905
2026-03-10T12:00:00Z,70560.3,70600,70252.2,70486,3641.638
2026-03-10T13:00:00Z,70486,70899.4,69678,69877.5,10764.461
2026-03-10T14:00:00Z,69877.5,71498.8,69227.3,71437.2,16065.4
2026-03-10T15:00:00Z,71437.2,71762.8,70860.9,71311,9154.832
2026-03-10T16:00:00Z,71311,71687,70904.6,71235.8,4154.525
2026-03-10T17:00:00Z,71235.8,71428.1,70440.5,70833.5,5316.788
2026-03-10T18:00:00Z,70833.5,70884,69850,69977.6,7878.184
2026-03-10T19:00:00Z,69977.6,70248.7,69650.5,70003.3,4632.157
2026-03-10T20:00:00Z,70003.3,70322.1,69950,70196.5,2436.14
2026-03-10T21:00:00Z,70196.5,70374,69468.1,69715.2,3501.411
2026-03-10T22:00:00Z,69715.2,69829.1,69405.1,69653.8,2684.098
2026-03-10T23:00:00Z,69653.8,69931.9,69646,69907.5,2072.083
2026-03-11T00:00:00Z,69907.5,70162.3,69702.6,69997,2336.487
2026-03-11T01:00:00Z,69997,70114.1,69831.3,70028.5,1248.413
2026-03-11T02:00:00Z,70028.5,70082,69572,69775.1,1945.524
2026-03-11T03:00:00Z,69775.1,69858.4,69448.6,69515.7,1944.546
2026-03-11T04:00:00Z,69515.7,70239,69447.7,70085.3,2916.082
2026-03-11T05:00:00Z,70085.3,70170,69318.6,69464.3,3391.962
2026-03-11T06:00:00Z,69464.3,69972.8,69452.1,69910.1,2800.674
2026-03-11T07:00:00Z,69910.1,69995.5,69460.7,69621.6,2212.587
2026-03-11T08:00:00Z,69621.6,69765,69460.4,69615.7,1804.632
2026-03-11T09:00:00Z,69615.7,69729,69324.3,69430.4,2189.746
2026-03-11T10:00:00Z,69430.4,69688,69352,69573.1,1493.388
2026-03-11T11:00:00Z,69573.1,69643.6,69121.4,69136.1,2577.17
2026-03-11T12:00:00Z,69136.1,69763.4,68921.8,69316.8,6399.437
2026-03-11T13:00:00Z,69316.8,71067.5,69290,70142.1,16551.046
2026-03-11T14:00:00Z,70142.1,70952.1,69917.5,70536.8,11997.511
2026-03-11T15:00:00Z,70536.8,70614.7,69651.2,70200,6938.188
2026-03-11T16:00:00Z,70200,70800,70120,70544.5,4384.295
2026-03-11T17:00:00Z,70544.5,71300,70478.1,70746.4,8056.397
2026-03-11T18:00:00Z,70746.4,70873.9,70375.4,70589,3527.93
2026-03-11T19:00:00Z,70589,70718.4,70326.4,70606.6,2245.506
2026-03-11T20:00:00Z,70606.6,70675.3,70348.3,70594.2,1321.505
2026-03-11T21:00:00Z,70594.2,70749.7,70448.7,70701.3,1256.417
2026-03-11T22:00:00Z,70701.3,70900,70183.8,70324.9,2446.661
2026-03-11T23:00:00Z,70324.9,70471.8,70080,70150.8,1574.969
2026-03-12T00:00:00Z,70150.8,70319.1,70085.5,70173.8,1312.865
2026-03-12T01:00:00Z,70173.8,70185.8,69710,69807,2771.399
2026-03-12T02:00:00Z,69807,69852.6,69172.5,69235.2,3767.22
2026-03-12T03:00:00Z,69235.2,69580.5,69188.4,69395.7,2400.771
2026-03-12T04:00:00Z,69395.7,69632.9,69243.7,69325.4,1570.579
2026-03-12T05:00:00Z,69325.4,69509.2,69150,69433.4,1900.758
2026-03-12T06:00:00Z,69433.4,69534.3,69319,69468.6,1344.656
2026-03-12T07:00:00Z,69468.6,69829.8,69377.9,69786.6,2472.742
2026-03-12T08:00:00Z,69786.6,70077.1,69662.8,69875.6,3774.32
2026-03-12T09:00:00Z,69875.6,70362.9,69540,69915.5,4326.525
2026-03-12T10:00:00Z,69915.5,70499.9,69810,70381.3,3464.218
2026-03-12T11:00:00Z,70381.3,70772.4,70328.1,70389.3,3632.791
2026-03-12T12:00:00Z,70389.3,70598.9,70239.4,70351.9,2293.23
2026-03-12T13:00:00Z,70351.9,70497.5,69650.6,69939.9,7274.024
2026-03-12T14:00:00Z,69939.9,70638.9,69300,69542.8,10144.709
2026-03-12T15:00:00Z,69542.8,70536.8,69420.2,70287.7,7031.309
2026-03-12T16:00:00Z,70287.7,70533.9,69855,70335.1,5227.614
2026-03-12T17:00:00Z,70335.1,70511.8,70033,70167.5,3055.706
2026-03-12T18:00:00Z,70167.5,70265,69755.3,69786.5,2416.268
